timestamp,open,high,low,close,volume
2019-11-05 14:40:00,144.5950,144.6100,144.5600,144.5700,105775
2019-11-05 14:35:00,144.6250,144.6700,144.5900,144.6000,92663
2019-11-05 14:30:00,144.5900,144.6350,144.5550,144.6300,69330
2019-11-05 14:25:00,144.6705,144.6800,144.5800,144.5942,132073
2019-11-05 14:20:00,144.6450,144.7100,144.6400,144.6700,116505
2019-11-05 14:15:00,144.6450,144.6600,144.6050,144.6400,104729
2019-11-05 14:10:00,144.5924,144.6500,144.5900,144.6500,120595
2019-11-05 14:05:00,144.5780,144.6100,144.5400,144.6000,109074
2019-11-05 14:00:00,144.5700,144.6100,144.5600,144.5800,86828
2019-11-05 13:55:00,144.5600,144.6100,144.5400,144.5650,101433
2019-11-05 13:50:00,144.5257,144.5600,144.5100,144.5600,69565
2019-11-05 13:45:00,144.4950,144.5400,144.4900,144.5242,101014
2019-11-05 13:40:00,144.5700,144.5800,144.4600,144.4946,113568
2019-11-05 13:35:00,144.6500,144.6500,144.5100,144.5600,154927
2019-11-05 13:30:00,144.7000,144.7140,144.6410,144.6410,97045
2019-11-05 13:25:00,144.6700,144.7158,144.6600,144.7000,100398
2019-11-05 13:20:00,144.6800,144.7300,144.6700,144.6700,76943
2019-11-05 13:15:00,144.6600,144.6900,144.6500,144.6700,112740
2019-11-05 13:10:00,144.6506,144.6820,144.6400,144.6500,96124
2019-11-05 13:05:00,144.7000,144.7470,144.6500,144.6557,282845
2019-11-05 13:00:00,144.6300,144.7200,144.6300,144.7000,144237
2019-11-05 12:55:00,144.6400,144.7100,144.6300,144.6300,108194
2019-11-05 12:50:00,144.6700,144.7200,144.6400,144.6400,126104
2019-11-05 12:45:00,144.5150,144.6787,144.5150,144.6633,144211
2019-11-05 12:40:00,144.4642,144.5400,144.4640,144.5100,78431
2019-11-05 12:35:00,144.4900,144.5100,144.4400,144.4600,68168
2019-11-05 12:30:00,144.4300,144.5000,144.4150,144.4950,76322
2019-11-05 12:25:00,144.4450,144.4850,144.3950,144.4340,111485
2019-11-05 12:20:00,144.5000,144.5050,144.3800,144.4400,100555
2019-11-05 12:15:00,144.5600,144.5700,144.4500,144.4950,80412
2019-11-05 12:10:00,144.5900,144.6250,144.5000,144.5500,157564
2019-11-05 12:05:00,144.5300,144.6200,144.5000,144.5850,163027
2019-11-05 12:00:00,144.4900,144.5400,144.4800,144.5400,87389
2019-11-05 11:55:00,144.3500,144.4956,144.3350,144.4850,94511
2019-11-05 11:50:00,144.3500,144.3900,144.3290,144.3500,124388
2019-11-05 11:45:00,144.5000,144.5300,144.3000,144.3500,234476
2019-11-05 11:40:00,144.5800,144.6050,144.5050,144.5050,123211
2019-11-05 11:35:00,144.5450,144.6190,144.5250,144.5800,143707
2019-11-05 11:30:00,144.4300,144.5650,144.4200,144.5500,141778
2019-11-05 11:25:00,144.4100,144.4600,144.3722,144.4300,206453
2019-11-05 11:20:00,144.3900,144.5000,144.3900,144.4674,36852
